playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,bbrefID,finalGame,retroID
aardsda01,1981,12,27,Denver,USA,CO,,,,,,,David,Aardsma,David Allan,215,75,R,R,2004-04-06,aardsda01,2015-08-23,aardd001
aaronha01,1934,2,5,Mobile,USA,AL,2021,1,22,USA,GA,Atlanta,Hank,Aaron,Henry Louis,180,72,R,R,1954-04-13,aaronha01,1976-10-03,aaroh101
aaronto01,1939,8,5,Mobile,USA,AL,1984,8,16,USA,GA,Atlanta,Tommie,Aaron,Tommie Lee,190,75,R,R,1962-04-10,aaronto01,1971-09-26,aarot101
aasedo01,1954,9,8,Orange,USA,CA,,,,,,,Don,Aase,Donald William,190,75,R,R,1977-07-26,aasedo01,1990-10-03,aased001
abadan01,1972,8,25,Palm Beach,USA,FL,,,,,,,Andy,Abad,Fausto Andres,184,73,L,L,2001-09-10,abadan01,2006-04-13,abada001
abadfe01,1985,12,17,La Romana,D.R.,La Romana,,,,,,,Fernando,Abad,Fernando Antonio,235,74,L,L,2010-07-28,abadfe01,2021-10-01,abadf001
abadijo01,1850,11,4,Philadelphia,USA,PA,1905,5,17,USA,NJ,Pemberton,John,Abadie,John W.,192,72,R,R,1875-04-26,abadijo01,1875-06-10,abadj101
abbated01,1877,4,15,Latrobe,USA,PA,1957,1,6,USA,FL,Fort Lauderdale,Ed,Abbaticchio,Edward James,170,71,R,R,1897-09-04,abbated01,1910-09-15,abbae101
abbeybe01,1869,11,11,Essex,USA,VT,1962,6,11,USA,VT,Colchester,Bert,Abbey,Bert Wood,175,71,R,R,1892-06-14,abbeybe01,1896-09-23,abbeb101
abbeych01,1866,10,14,Falls City,USA,NE,1926,4,27,USA,CA,San Francisco,Charlie,Abbey,Charles S.,169,68,L,L,1893-08-16,abbeych01,1897-08-19,abbec101
abbotco01,1995,9,20,San Diego,USA,CA,,,,,,,Cory,Abbott,Cory James,220,74,R,R,2021-06-05,abbotco01,2022-10-04,abboc001
abbotda01,1862,3,16,Portage,USA,OH,1930,2,13,USA,MI,Ottawa Lake,Dan,Abbott,Leander Franklin,190,71,R,R,1890-04-19,abbotda01,1890-05-23,abbod101
abbotfr01,1874,10,22,Versailles,USA,OH,1935,6,11,USA,CA,Los Angeles,Fred,Abbott,Harry Frederick,180,70,R,R,1903-04-25,abbotfr01,1905-09-20,abbof101
abbotgl01,1951,2,16,Little Rock,USA,AR,,,,,,,Glenn,Abbott,William Glenn,200,78,R,R,1973-07-29,abbotgl01,1984-08-08,abbog001
abbotje01,1972,8,17,Atlanta,USA,GA,,,,,,,Jeff,Abbott,Jeffrey William,190,74,R,L,1997-06-10,abbotje01,2001-09-29,abboj002
abbotji01,1967,9,19,Flint,USA,MI,,,,,,,Jim,Abbott,James Anthony,200,75,L,L,1989-04-08,abbotji01,1999-07-21,abboj001
abbotku01,1969,6,2,Zanesville,USA,OH,,,,,,,Kurt,Abbott,Kurt Thomas,180,71,R,R,1993-09-07,abbotku01,2001-04-13,abbok002
abbotky01,1968,2,18,Newburyport,USA,MA,,,,,,,Kyle,Abbott,Lawrence Kyle,200,76,L,L,1991-09-10,abbotky01,1996-08-24,abbok001
abbotod01,1886,9,5,New Eagle,USA,PA,1933,4,13,USA,DC,Washington,Ody,Abbott,Ody Cleon,165,69,L,R,1910-09-10,abbotod01,1910-10-15,abboo101
abbotpa01,1967,9,15,Van Nuys,USA,CA,,,,,,,Paul,Abbott,Paul David,185,75,R,R,1990-08-21,abbotpa01,2004-08-07,abbop001
