yearID,teamID,leagueID,playerID,G,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
1890,BSP,PL,broutda01,126,,126,,0,0,126,0,0,0,0,0,0,0,0.0,,
1890,BSP,PL,daleybi01,39,,39,,36,0,0,0,0,0,2,0,1,3,0.0,,
1890,BSP,PL,quinnjo02,133,,133,,0,0,0,133,0,0,0,0,0,0,0.0,,
1891,BS2,AA,broutda01,130,,130,,0,0,130,0,0,0,0,0,0,0,0.0,,
1891,BS2,AA,daleybi01,20,,20,,19,0,0,0,0,0,2,0,0,2,0.0,,
1944,BRO,NL,bordafr01,130,115.0,130,122.0,0,0,0,0,98,0,9,14,5,25,0.0,12.0,1.0
1944,BRO,NL,galanau01,151,147.0,151,147.0,0,0,0,2,0,0,125,26,2,147,0.0,4.0,0.0
1944,BRO,NL,greggha01,42,31.0,42,39.0,39,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
1944,BRO,NL,webbele01,48,9.0,48,48.0,48,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1945,BRO,NL,bordafr01,113,59.0,113,76.0,0,0,0,0,57,0,9,7,6,22,0.0,46.0,1.0
1945,BRO,NL,galanau01,152,151.0,152,151.0,0,0,66,0,40,0,49,0,0,49,0.0,1.0,0.0
1945,BRO,NL,greggha01,42,34.0,42,42.0,42,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1945,BRO,NL,webbele01,17,7.0,17,17.0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022,LAN,NL,bettsmo01,142,138.0,142,139.0,0,0,0,7,0,0,0,0,136,136,1.0,3.0,0.0
2022,LAN,NL,buehlwa01,12,12.0,0,12.0,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022,LAN,NL,kershcl01,22,22.0,0,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022,TOR,AL,biggica01,97,77.0,97,88.0,0,0,33,49,1,0,2,0,7,9,3.0,18.0,2.0
2022,TOR,AL,guerrvl02,160,158.0,160,128.0,0,0,128,0,1,0,0,0,0,0,32.0,2.0,0.0
2023,LAN,NL,bettsmo01,152,151.0,152,152.0,0,0,0,70,0,16,0,0,107,107,0.0,1.0,0.0
2023,LAN,NL,kershcl01,24,24.0,0,24.0,24,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2023,TOR,AL,biggica01,111,78.0,111,99.0,0,0,20,49,13,1,0,0,27,27,5.0,16.0,12.0
2023,TOR,AL,guerrvl02,156,154.0,156,121.0,0,0,121,0,0,0,0,0,0,0,35.0,2.0,0.0
