playerID,yearID,stint,teamID,leagueID,position,G,GS,outsRecorded,PO,A,E,DP,PB,WP,SB,CS
bettsmo01,2022,1,LAN,NL,2B,7,5.0,138.0,9,15,0.0,7,,,,
bettsmo01,2022,1,LAN,NL,OF,136,133.0,3463.0,298,8,2.0,4,,,,
bettsmo01,2023,1,LAN,NL,2B,70,62.0,1455.0,87,136,2.0,33,,,,
bettsmo01,2023,1,LAN,NL,OF,107,77.0,2105.0,141,8,0.0,1,,,,
bettsmo01,2023,1,LAN,NL,SS,16,12.0,294.0,16,27,3.0,4,,,,
biggica01,2022,1,TOR,AL,1B,33,32.0,786.0,221,13,2.0,20,,,,
biggica01,2022,1,TOR,AL,2B,49,36.0,961.0,58,95,2.0,22,,,,
biggica01,2022,1,TOR,AL,3B,1,1.0,24.0,1,1,0.0,0,,,,
biggica01,2022,1,TOR,AL,OF,9,8.0,183.0,15,0,0.0,0,,,,
biggica01,2023,1,TOR,AL,1B,20,10.0,321.0,89,4,0.0,10,,,,
biggica01,2023,1,TOR,AL,2B,49,38.0,1062.0,57,84,1.0,25,,,,
biggica01,2023,1,TOR,AL,3B,13,6.0,171.0,6,12,0.0,1,,,,
biggica01,2023,1,TOR,AL,OF,27,24.0,603.0,40,0,1.0,0,,,,
biggica01,2023,1,TOR,AL,SS,1,0.0,3.0,1,0,0.0,0,,,,
bordafr01,1944,1,BRO,NL,3B,98,,,107,150,15.0,14,,,,
bordafr01,1944,1,BRO,NL,OF,25,,,73,1,2.0,0,,,,
bordafr01,1945,1,BRO,NL,3B,57,,,54,93,19.0,7,,,,
broutda01,1890,1,BSP,PL,1B,126,,3327.0,1208,74,50.0,79,,,,
broutda01,1891,1,BS2,AA,1B,130,,3429.0,1313,34,30.0,82,,,,
buehlwa01,2022,1,LAN,NL,P,12,12.0,195.0,5,6,0.0,0,,,,
daleybi01,1890,1,BSP,PL,OF,3,,39.0,1,1,1.0,0,,,,
daleybi01,1890,1,BSP,PL,P,36,,759.0,23,54,7.0,2,,,,
daleybi01,1891,1,BS2,AA,OF,2,,39.0,3,0,0.0,0,,,,
daleybi01,1891,1,BS2,AA,P,19,,381.0,4,32,4.0,1,,,,
galanau01,1944,1,BRO,NL,2B,2,,,0,0,0.0,0,,,,
galanau01,1944,1,BRO,NL,OF,147,,,323,10,4.0,3,,,,
galanau01,1945,1,BRO,NL,1B,66,,,558,34,7.0,53,,,,
galanau01,1945,1,BRO,NL,3B,40,,,29,79,8.0,5,,,,
galanau01,1945,1,BRO,NL,OF,49,,,106,3,2.0,1,,,,
greggha01,1944,1,BRO,NL,P,39,,,13,36,5.0,3,,,,
greggha01,1945,1,BRO,NL,P,42,,,8,47,4.0,4,,,,
guerrvl02,2022,1,TOR,AL,1B,128,126.0,3357.0,969,47,10.0,80,,,,
guerrvl02,2022,1,TOR,AL,3B,1,0.0,6.0,0,0,0.0,0,,,,
guerrvl02,2023,1,TOR,AL,1B,121,120.0,3195.0,864,67,8.0,87,,,,
kershcl01,2022,1,LAN,NL,P,22,22.0,379.0,3,10,2.0,0,,,,
kershcl01,2023,1,LAN,NL,P,24,24.0,395.0,5,16,0.0,1,,,,
kikucyu01,2022,1,TOR,AL,P,32,20.0,302.0,4,11,1.0,1,,,,
kikucyu01,2023,1,TOR,AL,P,32,32.0,503.0,4,10,1.0,2,,,,
quinnjo02,1890,1,BSP,PL,2B,133,,3492.0,441,406,52.0,71,,,,
webbele01,1944,1,BRO,NL,P,48,,,10,43,1.0,0,,,,
webbele01,1945,1,BRO,NL,P,17,,,6,7,0.0,0,,,,
